year,total_rainfall,mean_temperature,minimum_temperature,maximum_temperature,dengue_cases,inbound,outbound
2012,2159.3,27.543561643835616,21.1,33.7,4632,14496092,8047808
2013,2748.4,27.654794520547945,20.9,35.2,22194,15567923,8647066
2014,1538.4,27.918356164383564,21.1,34.5,18168,15095152,8902705
2015,1325.0,28.22472826086957,21.9,34.4,11303,15231469,9125331
2016,1899.1,28.44478021978022,21.6,35.0,13179,16403459,9474205
2017,2053.8,27.696153846153845,21.8,34.6,2776,17424611,9888852
2018,1708.2,27.884383561643833,21.3,35.0,3285,18508302,10378329
2019,1367.5,28.44301369863014,21.9,34.8,15998,19116016,10710717
2020,2237.2,28.01544715447155,21.7,34.6,35121,2742443,1543007
2021,2534.2,27.928296703296702,21.9,34.7,5264,330059,833107
2022,2132.6,27.881043956043957,22.2,35.4,32175,6305640,5154428
